Рейтинг участников турнира Feeder Cup 2k23,,,,,,,,,,,
Место текущее,Место прошлое,Фамилия,Имя,Команда,Очки,,,,,,
,,,,,1 этап,2 этап,3 этап,4 этап,5 этап,6 этап,Всего
,,,,,,,,,,,
1,1,Зайцев,Иван,Про100Feeder,7,3,1,2,4,,17
2,5,Кручинин,Павел,Про100Feeder,14,4,18,1,1,,38
3,6,Алымов,Андрей,Про100Feeder,16,10,3,11,3,,43
4,3,Багдонас,Йозас,Балтика Фидер,1,7,7,18,13,,46
5,2,Ткаченко,Сергей,FKM,12,1,8,10,18,,49
6,10,Виноградов,Евгений,FKM,10,5,13,17,5,,50
7,8,Бутов,Андрей,Русская донка,6,28,6,3,10,,53
8,4,Кубраков,Андрей,Балтика Фидер,8,9,10,9,21,,57
9,7,Пивоваров,Михаил,FTW,15,13,4,8,20,,60
10,12,Крыловский,Александр,FKM,2,28,2,21,8,,61
11,9,Долотов,Григорий,FTW,3,16,19,6,19,,63
12,11,Тарасов,Максим,,32,6,5,5,17,,65
13,16,Прохоренко,Александр,FTW,9,25,23,13,2,,72
14,15,Кудаков,Виталий,TDK,19,12,11,26,12,,80
15,13,Тайлаков,Андрей,,20,14,14,12,26,,86
16,14,Шиляков,Михаил,Балтика Фидер,18,8,21,16,24,,87
17,20,Ляпко,Вячеслав,Джокер,11,28,9,29,11,,88
18,19,Елкин,Станислав,,30,2,20,22,16,,90
19,22,Челяев,Сергей,Русская донка,13,28,30,7,14,,92
20,24,Макаров,Виталий,Джокер,28,11,26,23,6,,94
21,23,Веренич,Иван,,32,28,12,14,9,,95
22,18,Надворный,Вячеслав,,4,18,25,27,25,,99
23,17,Горчинский,Андрей,,32,15,22,4,30,,103
24,21,Шмалёв,Сергей,,17,17,15,29,30,,108
25,29,Дианов,Никита,,32,22,24,24,15,,117
26,26,Суслов,Антон,,32,28,17,15,28,,120
27,25,Нoвиков,Егор,,5,28,30,29,30,,122
28,40,Ница,Денис,,32,28,30,29,7,,126
29,27,Дубенецкий,Юрий,TDK,21,19,"28,5",29,30,,"127,5"
30,28,Тихонов,Сергей,TDK,32,21,16,29,30,,128
31,31,Охрименко,Игорь,,25,23,"28,5",28,27,,"131,5"
32,30,Семченко,Алексей,Джокер,24,20,30,29,30,,133
33,32,Карпухин,Валерий,,26,"26,5",27,25,30,,"134,5"
34,33,Саража,Сергей,,22,28,30,29,30,,139
35,34,Суецкий,Алексей,Русская донка,23,28,30,29,29,,139
36,40,Исупов,Николай,,32,28,30,29,22,,141
37,40,Устинов,Михаил,,32,28,30,29,23,,142
38,35,Зуев,Александр,,27,28,30,29,30,,144
39,36,Купцов,Дмитрий,,32,24,30,29,30,,145
40,37,Наумов,Александр,,29,28,30,29,30,,146
41,38,Пичугин,Алексей,,32,"26,5",30,29,30,,"147,5"
42,39,Новиков,Руслан,,31,28,30,29,30,,148
43,40,Борисенков,Виктор,,32,28,30,29,30,,149
43,40,Крегель,Алексей,,32,28,30,29,30,,149
43,40,Воронков,Александр,,32,28,30,29,30,,149
43,40,Стенин,Сергей,,32,28,30,29,30,,149